AthleteID,EventID,MedalID
443,450,0
100960,450,1
6783,450,2
495,249,0
3175,249,0
4039,249,0
12409,249,0
41471,249,0
51333,249,0
56545,249,0
69860,249,0
78023,249,0
83217,249,0
84136,249,0
111120,249,0
131912,249,0
132023,249,0
141461,249,0
147835,249,0
148080,249,0
792,249,1
1043,249,1
1142,249,1
3947,249,1
3962,249,1
6469,249,1
6528,249,1
7400,249,1
35168,249,1
46019,249,1
66561,249,1
72903,249,1
75479,249,1
75703,249,1
77278,249,1
92001,249,1
102267,249,1
113304,249,1
114438,249,1
115066,249,1
923,249,2
8257,249,2
18723,249,2
47201,249,2
63495,249,2
66078,249,2
71822,249,2
72190,249,2
74228,249,2
74345,249,2
78624,249,2
92895,249,2
133538,249,2
136763,249,2
149726,249,2
150814,249,2
499,509,0
17250,509,1
17922,509,1
21754,509,0
31797,509,0
39710,509,0
46629,509,0
55435,509,0
66133,509,0
71509,509,1
82708,509,0
87952,509,0
79528,509,1
91378,509,1
92865,509,1
103001,509,1
142660,509,1
145600,509,1
18431,509,2
30661,509,2
30825,509,2
31567,509,2
55913,509,2
102874,509,2
145243,509,2
145844,509,2
147349,509,2
500,510,0
6128,510,0
28054,510,0
32581,510,0
39711,510,0
42280,510,0
48231,510,0
83515,510,0
124836,510,0
8157,510,2
16868,510,2
83551,510,2
85121,510,2
116670,510,2
117507,510,2
135088,510,2
149482,510,2
153934,510,2
506,512,0
141142,512,1
149624,512,2
518,459,0
1796,459,0
15762,459,0
19672,459,0
27614,459,0
30468,459,0
39632,459,0
43566,459,0
46833,459,0
55311,459,0
63845,459,0
70820,459,0
74884,459,0
92902,459,0
99543,459,0
105044,459,0
116027,459,0
123238,459,0
126331,459,0
127876,459,0
152439,459,0
152727,459,0
155681,459,0
155719,459,0
51270,459,1
58422,459,1
60982,459,1
61038,459,1
62948,459,1
63964,459,1
64034,459,1
64067,459,1
64411,459,1
70030,459,1
70072,459,1
70138,459,1
70512,459,1
70530,459,1
79023,459,1
79425,459,1
79431,459,1
106943,459,1
106963,459,1
106992,459,1
107003,459,1
107048,459,1
132117,459,1
132164,459,1
1864,459,2
5678,459,2
20482,459,2
22371,459,2
26845,459,2
36082,459,2
48932,459,2
60473,459,2
70727,459,2
78603,459,2
81601,459,2
85060,459,2
86958,459,2
91795,459,2
92169,459,2
92302,459,2
105641,459,2
109617,459,2
110778,459,2
119127,459,2
126278,459,2
144046,459,2
145019,459,2
147268,459,2
543,551,0
74072,551,1
5773,551,2
555,562,0
21753,562,0
44587,562,0
53547,562,2
150516,562,0
8626,562,1
37324,562,1
80691,562,1
152862,562,1
19470,562,2
115553,562,2
134860,562,2
614,623,0
28493,623,0
52408,623,0
57718,623,0
14426,623,1
14543,623,1
133383,623,1
153349,623,1
32686,623,2
71093,623,2
96500,623,2
98401,623,2
614,622,1
28493,622,1
41022,622,0
84937,622,0
32686,622,2
98401,622,2
634,644,0
125540,644,2
112662,644,1
634,646,2
25754,646,0
60175,646,0
78935,646,0
97540,646,0
15676,646,1
18103,646,1
31680,646,1
145328,646,1
100344,646,2
115676,646,2
120616,646,2
637,649,0
13139,649,0
14071,649,0
38621,649,0
64849,649,0
65792,649,0
72054,649,0
81231,649,0
81238,649,0
84260,649,0
88597,649,0
89219,649,0
104324,649,0
104326,649,0
110160,649,0
124502,649,0
125047,649,0
126706,649,0
130264,649,0
130359,649,0
135381,649,0
140354,649,0
140356,649,0
149166,649,0
4459,649,1
4502,649,1
13754,649,1
50807,649,1
53853,649,1
53870,649,1
53969,649,1
63770,649,1
64664,649,1
65790,649,1
74678,649,1
85412,649,1
100600,649,1
101594,649,1
103922,649,1
103986,649,1
108251,649,1
108297,649,1
109784,649,1
136509,649,1
37648,649,2
43000,649,2
60414,649,2
60415,649,2
60940,649,2
68353,649,2
71317,649,2
84251,649,2
108515,649,2
109317,649,2
121505,649,2
121648,649,2
122670,649,2
122835,649,2
130176,649,2
136174,649,2
138392,649,2
140577,649,2
144696,649,2
146600,649,2
691,706,0
126638,706,1
154951,706,2
692,707,0
17600,707,1
56432,707,2
693,708,0
125958,708,1
108883,708,2
723,731,0
49185,731,1
79069,731,1
32682,731,2
736,751,0
69314,751,1
36203,751,2
826,825,0
4665,825,0
4671,825,0
7797,825,0
11945,825,0
13735,825,0
23505,825,0
38908,825,0
50191,825,0
52059,825,0
52787,825,0
55437,825,0
65038,825,0
65454,825,0
81640,825,0
81796,825,0
95689,825,0
109474,825,0
123850,825,0
130292,825,0
131706,825,0
132285,825,0
136524,825,0
141640,825,0
5946,825,1
18016,825,1
25567,825,1
25579,825,1
30015,825,1
32005,825,1
32266,825,1
35959,825,1
36550,825,1
41686,825,1
53968,825,1
56035,825,1
57784,825,1
82790,825,1
85466,825,1
105771,825,1
110783,825,1
111034,825,1
111342,825,1
111776,825,1
132112,825,1
137552,825,1
139899,825,1
147425,825,1
13788,825,2
53894,825,2
53896,825,2
53957,825,2
62653,825,2
65739,825,2
65740,825,2
65746,825,2
71056,825,2
77213,825,2
77888,825,2
85381,825,2
100618,825,2
100619,825,2
103801,825,2
108265,825,2
108279,825,2
108286,825,2
108316,825,2
115883,825,2
132673,825,2
132674,825,2
132715,825,2
147643,825,2
149987,825,2
827,826,0
5852,826,0
16007,826,0
24210,826,0
25015,826,0
30516,826,0
61191,826,0
85926,826,0
85929,826,0
86894,826,0
90643,826,0
107176,826,0
107531,826,0
107534,826,0
6568,826,1
23571,826,1
54775,826,1
60131,826,1
61706,826,1
69206,826,1
85761,826,1
99209,826,1
115797,826,1
115907,826,1
122832,826,1
127900,826,1
128063,826,1
136851,826,1
156479,826,1
157692,826,1
11419,826,2
18354,826,2
23466,826,2
26944,826,2
29698,826,2
48664,826,2
52886,826,2
53528,826,2
61506,826,2
112424,826,2
113628,826,2
116637,826,2
117970,826,2
131371,826,2
149950,826,2
828,827,0
12656,827,1
47160,827,2
845,132,0
1452,132,0
8860,132,0
19345,132,0
33251,132,0
40634,132,0
44878,132,0
45542,132,0
78355,132,0
88785,132,0
92363,132,0
95391,132,0
106797,132,0
118117,132,0
119763,132,0
132360,132,0
144510,132,0
156143,132,0
3130,132,1
4560,132,1
17597,132,1
33668,132,1
56610,132,1
60949,132,1
64471,132,1
83946,132,1
87195,132,1
100002,132,1
114969,132,1
115379,132,1
116900,132,1
119809,132,1
