TeamID,EventID
1,2574
7,2574
9,2574
11,2574
12,2574
15,2574
16,2574
20,2574
21,2574
23,2574
24,2574
29,2574
32,2574
43,2574
45,2574
47,2574
58,2574
70,2574
74,2574
76,2574
90,2574
103,2574
112,2574
143,2574
193,2574
210,2574
242,2574
257,2574
1,2436
6,2436
21,2436
29,2436
33,2436
43,2436
45,2436
74,2436
77,2436
84,2436
102,2436
244,2436
1,450
8,450
9,450
15,450
16,450
21,450
24,450
29,450
32,450
35,450
36,450
43,450
47,450
73,450
84,450
90,450
119,450
135,450
139,450
1,202
13,202
15,202
16,202
20,202
29,202
43,202
74,202
77,202
96,202
106,202
195,202
1,657
4,657
14,657
15,657
22,657
23,657
25,657
26,657
27,657
29,657
32,657
33,657
43,657
45,657
60,657
77,657
96,657
102,657
106,657
107,657
124,657
128,657
143,657
187,657
219,657
1,1200
12,1200
20,1200
24,1200
29,1200
33,1200
47,1200
74,1200
77,1200
102,1200
242,1200
257,1200
1,101
12,101
20,101
23,101
29,101
47,101
77,101
94,101
102,101
193,101
242,101
257,101
1,2257
5,2257
8,2257
15,2257
17,2257
20,2257
23,2257
25,2257
28,2257
29,2257
48,2257
53,2257
58,2257
63,2257
70,2257
71,2257
77,2257
85,2257
90,2257
93,2257
96,2257
101,2257
122,2257
128,2257
140,2257
143,2257
182,2257
188,2257
238,2257
251,2257
289,2257
1,460
4,460
22,460
29,460
45,460
74,460
242,460
581,460
1,2642
2,2642
5,2642
7,2642
9,2642
12,2642
16,2642
20,2642
21,2642
23,2642
24,2642
26,2642
29,2642
32,2642
43,2642
45,2642
46,2642
47,2642
48,2642
69,2642
74,2642
77,2642
84,2642
90,2642
96,2642
103,2642
139,2642
143,2642
144,2642
149,2642
167,2642
242,2642
257,2642
323,2642
581,2642
1,2106
4,2106
5,2106
7,2106
9,2106
12,2106
16,2106
20,2106
21,2106
24,2106
29,2106
32,2106
43,2106
45,2106
47,2106
48,2106
74,2106
84,2106
90,2106
102,2106
103,2106
242,2106
257,2106
581,2106
1,1075
9,1075
12,1075
16,1075
25,1075
27,1075
28,1075
29,1075
30,1075
32,1075
33,1075
34,1075
36,1075
37,1075
40,1075
41,1075
45,1075
54,1075
61,1075
63,1075
67,1075
74,1075
75,1075
77,1075
78,1075
79,1075
88,1075
89,1075
90,1075
91,1075
94,1075
103,1075
105,1075
108,1075
109,1075
113,1075
125,1075
128,1075
129,1075
135,1075
140,1075
151,1075
156,1075
164,1075
167,1075
171,1075
175,1075
177,1075
181,1075
182,1075
183,1075
188,1075
196,1075
198,1075
216,1075
235,1075
242,1075
251,1075
266,1075
270,1075
288,1075
294,1075
333,1075
422,1075
427,1075
554,1075
581,1075
788,1075
926,1075
1,578
9,578
12,578
16,578
28,578
29,578
30,578
32,578
33,578
41,578
45,578
63,578
67,578
74,578
75,578
88,578
89,578
90,578
91,578
103,578
108,578
109,578
113,578
128,578
167,578
175,578
242,578
251,578
270,578
581,578
1,182
2,182
4,182
5,182
7,182
8,182
9,182
12,182
13,182
16,182
18,182
19,182
20,182
21,182
23,182
24,182
25,182
26,182
27,182
29,182
31,182
32,182
33,182
34,182
35,182
36,182
37,182
43,182
45,182
47,182
48,182
50,182
51,182
54,182
56,182
57,182
58,182
60,182
63,182
68,182
71,182
72,182
76,182
77,182
83,182
84,182
85,182
87,182
88,182
89,182
90,182
93,182
94,182
96,182
100,182
101,182
106,182
107,182
113,182
116,182
118,182
124,182
125,182
128,182
132,182
139,182
142,182
143,182
144,182
145,182
148,182
149,182
156,182
179,182
188,182
197,182
198,182
216,182
230,182
237,182
238,182
270,182
301,182
302,182
306,182
309,182
371,182
422,182
427,182
582,182
1,1190
4,1190
9,1190
16,1190
20,1190
29,1190
43,1190
45,1190
47,1190
48,1190
74,1190
76,1190
77,1190
84,1190
90,1190
102,1190
1,369
2,369
4,369
6,369
9,369
11,369
12,369
14,369
16,369
26,369
27,369
28,369
29,369
30,369
33,369
34,369
45,369
46,369
47,369
50,369
54,369
55,369
63,369
74,369
76,369
77,369
78,369
85,369
88,369
90,369
92,369
93,369
97,369
102,369
103,369
105,369
107,369
108,369
113,369
119,369
120,369
128,369
132,369
145,369
148,369
151,369
156,369
158,369
175,369
177,369
181,369
182,369
190,369
198,369
200,369
205,369
230,369
238,369
242,369
247,369
267,369
288,369
306,369
422,369
554,369
926,369
1,39
4,39
12,39
16,39
24,39
29,39
45,39
47,39
74,39
77,39
108,39
190,39
1,2276
9,2276
12,2276
16,2276
24,2276
29,2276
30,2276
32,2276
47,2276
108,2276
190,2276
242,2276
1,3136
5,3136
9,3136
24,3136
29,3136
45,3136
47,3136
54,3136
74,3136
76,3136
